sku,category,price,name
1520472,5298,11,[209 194 237 134  20  94 248 209 158 134 214  40  33 134  88 134]
1327682,1800,26,[ 34 119  49 241   5 226 220  63  23 135  92 125 203 146  63  49]
133518,4444,66,[222 215 119 166  71  35 206  28 193 204  93  11 222 133 222  70]
741982,5272,32,[ 66 220  36 152 138  24  92 178 126 126  81  21 229  40 229 238]
972770,6001,51,[174 126 202  27 150  11  30 177 150 215 150 177 177  36 168  36]
1032599,5092,54,[ 90 220  89  40 138  91  91 178 126 126  81 194 210 229 169  66]
1227966,3107,84,[165 137 142 211 125 150 114  21 142  22 103   2 143 138  29 238]
1206689,1956,69,[147 156 232  69  77 236 236 128 236 128 156 236  55   3  59 156]
569259,5131,84,[ 22 223 227 220 189  29 190 152 220  97 150 199   8 246  75 163]
322443,4134,53,[136 130  78  92   7  78 104 211 216 208 207 136 136 208 216 136]
1404981,5925,48,[ 89  16  22 183  35 134 170 192 166 192  79 161 230  28 192  57]
36858,1660,90,[ 22  21  57 105 218 108 238  96 159 159  51 108 252 246  89 159]
252265,1172,22,[166  99  75  88  88  88  88 127 127 127 127  88 127 148 127  62]
767082,1096,78,[ 64 206  64  34  64  64  64  64  64  64  64  64  64  64 206  64]
158992,876,81,[112 248 200 222 248 248 112 125 119  68 112 112 200 200 248 200]
952108,791,94,[ 32  32  32  32 175 107  32  32 107 107 120 107 175  32 107 107]
785278,791,93,[ 32  32 243  32 175 107  32  32 107 107 120 107 175  32 107 107]
1313142,791,89,[ 32  32 243  32 175 107  32  32 107 107 120 107 175  32 107 107]
660537,5987,37,[  2  78  61 115  14 192  44  99  45  35  28 176 170  35  57  59]
140423,5987,31,[  2 247  87  93 169 247 247  45 247 247 130 141 247 130  45 176]
288194,2157,16,[234   1  86  26 109 239 237 186 111 234 162  33 232 111 108 250]
648122,2127,71,[125 137 104 154 227 254  68 134 187  77 214  60 216 254 179  80]
717269,1894,16,[154 246 231 228 228  42  50 228  42 225  42  44  14  34 105 228]
676992,2114,21,[ 93 141  55  41  38 121 141 109 109  22 228  76 228 220 181 145]
248546,2114,21,[ 93 141  55  41 228 121  50 109 161  48 228  44 228 220  35 145]
790381,6167,22,[ 93 228 242  71  48 121 193  34 109  48 228  84 228 191 109 145]
869953,5131,70,[223 168 159 105 231 108 238 159 159  23  51 108 252 159 102 159]
1014932,2238,54,[179 181 181 235  97 181  86 210  95  97 181 181 162  95  97 241]
914585,2914,25,[205 206 109  64  56 206  56 157 205  56  64  64 206 206  56  48]
454456,3860,71,[ 32  32  32  32 175  30  32  32  32 243 120  32 175 120 107 175]
1244724,4397,94,[ 62  60 103 218 113 244 199 188  80 235 140 188 215 203 131 235]
1039681,5400,79,[ 19 224  68 124 124 140 249 239   2 191 247 224  47 214 136 229]
886646,3138,93,[159  32 186  30  32  98 174 174 243  10  32 120 121 107  32  32]
179338,5131,52,[150  59 132 105 200 108 193 177 159 150  51 108 108 197 150 154]
1316442,225,19,[  7 217 190   7  59  77 191  91  91  99  43  19 221 170  67 109]
1622299,5865,50,[103  75  65 241 118 190 190 190  65 223 108 229 190  49 167  59]
691060,2419,31,[ 59  63 182 151   0  63  63   0  65  50 190  63 203  63   0 190]
1592466,225,20,[  7 217  54   7 205  77  65  91  91 147 156 238 221 170  67 109]
139113,4899,64,[ 73  73  94 182 108 204 179  73  73  73  12  73  24  85  73 212]
1552368,4072,41,[201 126  13 252 140  11  51 177 168 180 126 177  92  86 168 126]
966771,37,85,[ 23  32   8  51 133  32  23  51 107   5 120  32  51 124  98 175]
251575,5835,34,[137 242 187  82  22 137 132 137  36 198 135 137 100 137  11 137]
1564666,4043,18,[ 11  43  25 201 198 105 195 216 118  82  25 208 195  86  55 202]
569184,1966,16,[ 84  14 185 138  72 185 213 176 202 131  47 161 251  33  44 247]
142353,791,88,[ 32  32 243  32 175 107  32  32 107 107  32  32 175  32 107  32]
358785,791,84,[ 32  32 243  32 175 107  32  32 107 107 120 107 175  32 107 107]
1147888,5797,70,[150 126  13  27 231  11  51 177 177 220 150 177  92  36  24 122]
149270,1096,60,[145 109  34  48 206  56  35 206  56 206 136 206 141 140   2 206]
1141326,875,69,[ 39  39 144  39 138 153  39  39  39  39  39  58 215  39  39 186]
1552246,4910,72,[218  67  48 188 193 124 224 129 124 224 224   6 227 244 161 111]
1491943,2890,30,[ 19  70 154  62  98 210 146 141  38   7 141   3   4  70 180   3]
995584,5131,96,[ 22 168 218 105 218 108 238  96 159 159  51 108 172 159 102 159]
1451988,3679,51,[126 229  33 229 176  91 229 229 229 115 254 162  10 126 229  35]
1194776,791,85,[ 32  32 243  32 175 107  32  32 107 107 120 107 107  32 107 107]
780209,1403,68,[111  34  22 185  35  78  48 102  69  71 179  57  57   9 101  28]
439785,5797,60,[150 171 168 186 231 196 202 177  89 159 150 143 168 255 168  30]
1061143,780,24,[  0  57  45 108  86 130  31 124  28  14  41  41 133 185  75 254]
8670,2964,79,[204 109 191 206  91  56  35  99 163 206 136 206 141  56   2 248]
131600,2762,86,[187 187 126 242 202 187 254 202  11 121 135 184 219 187 213 187]
1012838,941,90,[ 34   9  90  38  41 174 108  19  43 234  38   1 230 230 215 250]
915236,3703,42,[ 34 119  16   5  63 125 100   4 116 124 119 125  48 215 146 171]
922448,3321,92,[  0  54 151 103 176 134 154  87 151  53 209  68 103 113 135 112]
868138,3703,55,[ 67 112  49 210 177 198   8  63  23 198  31 125 203  43  10  49]
